,dia,hora,AOD,n,null,tipo
88,7/6/2015,20:00:00,NA,4,4,MYD
463,7/6/2015,16:50:00,NA,3,3,MOD
436,8/6/2015,20:40:00,0.186,2,0,MYD
91,8/6/2015,20:40:00,0.186,2,0,MYD
467,8/6/2015,17:35:00,0.253,4,1,MOD
437,9/6/2015,19:45:00,0.35267,4,1,MYD
92,9/6/2015,19:45:00,0.35267,4,1,MYD
468,9/6/2015,16:40:00,0.423,1,0,MOD
471,10/6/2015,17:20:00,0.505,4,3,MOD
443,11/6/2015,19:35:00,NA,2,2,MYD
98,11/6/2015,19:35:00,NA,2,2,MYD
446,12/6/2015,20:15:00,NA,2,2,MYD
101,12/6/2015,20:15:00,NA,2,2,MYD
477,12/6/2015,17:10:00,NA,4,4,MOD
447,13/6/2015,19:20:00,NA,3,3,MYD
102,13/6/2015,19:20:00,NA,3,3,MYD
480,13/6/2015,17:50:00,NA,2,2,MOD
451,14/6/2015,20:05:00,NA,4,4,MYD
106,14/6/2015,20:05:00,NA,4,4,MYD
482,14/6/2015,16:55:00,NA,3,3,MOD
487,15/6/2015,17:40:00,NA,3,3,MOD
456,16/6/2015,19:50:00,NA,4,4,MYD
111,16/6/2015,19:50:00,NA,4,4,MYD
489,16/6/2015,16:45:00,0.675,1,0,MOD
460,17/6/2015,20:35:00,NA,2,2,MYD
115,17/6/2015,20:35:00,NA,2,2,MYD
493,17/6/2015,17:30:00,NA,4,4,MOD
462,18/6/2015,19:40:00,NA,3,3,MYD
117,18/6/2015,19:40:00,NA,3,3,MYD
465,19/6/2015,20:20:00,NA,1,1,MYD
466,19/6/2015,20:25:00,NA,1,1,MYD
120,19/6/2015,20:20:00,NA,1,1,MYD
121,19/6/2015,20:25:00,NA,1,1,MYD
498,19/6/2015,17:15:00,0.564,4,3,MOD
467,20/6/2015,19:25:00,NA,3,3,MYD
122,20/6/2015,19:25:00,NA,3,3,MYD
502,20/6/2015,18:00:00,NA,2,2,MOD
471,21/6/2015,20:10:00,NA,4,4,MYD
126,21/6/2015,20:10:00,NA,4,4,MYD
503,21/6/2015,17:05:00,0.671,3,2,MOD
507,22/6/2015,17:45:00,NA,1,1,MOD
477,23/6/2015,20:00:00,NA,4,4,MYD
132,23/6/2015,20:00:00,NA,4,4,MYD
509,23/6/2015,16:50:00,0.415,1,0,MOD
480,24/6/2015,20:40:00,NA,2,2,MYD
135,24/6/2015,20:40:00,NA,2,2,MYD
513,24/6/2015,17:35:00,NA,1,1,MOD
481,25/6/2015,19:45:00,NA,4,4,MYD
136,25/6/2015,19:45:00,NA,4,4,MYD
514,25/6/2015,16:40:00,0.61,3,2,MOD
485,26/6/2015,20:30:00,NA,3,3,MYD
140,26/6/2015,20:30:00,NA,3,3,MYD
516,26/6/2015,17:20:00,NA,4,4,MOD
487,27/6/2015,19:35:00,NA,3,3,MYD
142,27/6/2015,19:35:00,NA,3,3,MYD
490,28/6/2015,20:15:00,NA,3,3,MYD
145,28/6/2015,20:15:00,NA,3,3,MYD
522,28/6/2015,17:10:00,NA,4,4,MOD
495,30/6/2015,20:05:00,NA,3,3,MYD
150,30/6/2015,20:05:00,NA,3,3,MYD
528,30/6/2015,17:00:00,NA,3,3,MOD
3,1/7/2015,17:40:00,NA,1,1,MOD
500,2/7/2015,19:50:00,NA,4,4,MYD
