,date,AOD_550_maiac_mean_60,AOD_550_AER_mean_60,AOD_550_maiac_mean_61,AOD_550_AER_mean_61
402,8/2/2018,0.132335,0.125678261,0.1705,0.125678261
404,12/2/2018,0.112875,0.047817589,0.151125,0.047817589
405,13/2/2018,0.079,0.02897639,0.106416667,0.02897639
406,14/2/2018,0.07025,0.028590349,0.121125,0.028590349
407,15/2/2018,0.084165,0.040706021,0.115625,0.040706021
408,16/2/2018,0.095625,0.055043311,0.13525,0.055043311
409,17/2/2018,0.107166667,0.080912519,0.132833333,0.080912519
410,18/2/2018,0.07125,0.06612476,0.10875,0.06612476
412,22/2/2018,0.03225,0.064449978,0.11325,0.072775712
413,23/2/2018,0.11133,0.096094534,0.18575,0.096094534
414,26/2/2018,0.11175,0.044162174,0.138875,0.044162174
415,27/2/2018,0.07725,0.046259989,0.167375,0.050116011
416,28/2/2018,0.123,0.087634751,0.13575,0.087634751
417,1/3/2018,0.180125,0.157813762,0.2165,0.157813762
418,2/3/2018,0.080875,0.070585535,0.127625,0.070585535
419,3/3/2018,0.108415,0.078895441,0.14425,0.078895441
420,4/3/2018,0.0785,0.044481594,0.102125,0.044481594
421,6/3/2018,0.105125,0.059243306,0.11029,0.059243306
422,7/3/2018,0.081875,0.064067112,0.120875,0.064067112
423,8/3/2018,0.0545,0.025704195,0.0715,0.025704195
424,12/3/2018,0.054375,0.023925337,0.08775,0.019526406
425,13/3/2018,0.094375,0.130313565,0.087625,0.130313565
426,14/3/2018,0.20775,0.199569346,0.26975,0.199569346
427,15/3/2018,0.109,0.057365869,0.12975,0.057365869
428,16/3/2018,0.086125,0.028600375,0.103125,0.028600375
429,19/3/2018,0.0575,0.040382731,0.08875,0.040382731
430,20/3/2018,0.080125,0.077344701,0.1055,0.077344701
431,21/3/2018,0.08671,0.059579058,0.096625,0.059579058
433,23/3/2018,0.126375,0.058363475,0.156375,0.058363475
434,24/3/2018,0.0745,0.086246367,0.095,0.086246367
437,27/3/2018,0.1065,0.049148364,0.192,0.059064205
438,29/3/2018,0.08725,0.051483059,0.12025,0.051483059
439,30/3/2018,0.128625,0.116389749,0.15975,0.116389749
440,31/3/2018,0.15175,0.135813913,0.172125,0.135813913
441,3/4/2018,0.085,0.06188299,0.08675,0.06188299
442,4/4/2018,0.08,0.073367763,0.08525,0.079033311
444,13/4/2018,0.06775,0.029552626,0.067625,0.043362538
445,14/4/2018,0.092875,0.040967757,0.11225,0.04480713
446,15/4/2018,0.077,0.045519361,0.10125,0.045519361
447,17/4/2018,0.11475,0.057119669,0.175,0.057119669
448,27/4/2018,0.14,0.184770031,0.187,0.184770031
449,30/4/2018,0.1575,0.094122221,0.185,0.094122221
450,3/5/2018,0.171125,0.171368918,0.197625,0.171368918
453,18/5/2018,0.1095,0.079426847,0.127375,0.106883782
455,22/5/2018,0.04775,0.056410358,0.057375,0.056410358
