,date,AOD_modis,AOD_maiac_61,AOD_550_AER_mean,Modif
361,23/6/2022,0.183,0.15463,0.149447994,0
362,26/6/2022,0.104,0.065485,0.097819563,0
363,27/6/2022,0.132,0.050555,0.07249626,0
364,28/6/2022,0.152,0.079085,0.077447287,0
365,29/6/2022,0.113,0.077545,0.097416085,0
366,30/6/2022,0.055,0.043,0.056439049,0
367,1/7/2022,0.06,0.064,0.091162939,0
368,6/7/2022,0.223,0.090935,0.108439438,0
369,7/7/2022,0.135,0.08463,0.090157489,0
370,8/7/2022,0.252,0.179455,0.161265489,0
371,9/7/2022,0.1865,0.15886,0.151524344,0
372,17/7/2022,0.169,0.14562,0.085786945,0
373,18/7/2022,0.226,0.16318,0.154541859,0
374,22/7/2022,0.223,0.07409,0.190476665,0
375,23/7/2022,0.0995,0.08902,0.089297593,0
376,24/7/2022,0.122,0.09939,0.104253877,0
377,25/7/2022,0.1075,0.10849,0.091810865,0
378,26/7/2022,0.158,0.119925,0.093273874,0
379,1/8/2022,0.203,0.12275,0.15910303,0
380,2/8/2022,0.114,0.16585,0.168547748,0
381,3/8/2022,0.16,0.10188,0.091351209,0
382,12/8/2022,0.048,0.08727,0.067893453,0
383,17/8/2022,0.091,0.065225,0.08553801,0
384,25/8/2022,0.19,0.08797,0.129999784,0
385,26/8/2022,0.16067,0.186835,0.15923862,0
386,28/8/2022,0.222,0.1855,0.145282112,0
387,30/8/2022,0.372,0.194535,0.174071924,0
388,2/9/2022,0.349,0.31728,0.282951144,0
389,8/9/2022,0.238,0.137815,0.176946077,0
390,9/9/2022,0.1865,0.19135,0.188942417,0
391,11/9/2022,0.269,0.207575,0.216587922,0
392,18/9/2022,0.116,0.126065,0.114847129,0
393,20/9/2022,0.155,0.12577,0.120332238,0
394,25/9/2022,0.101,0.12658,0.05055181,0
395,30/9/2022,0.157,0.19259,0.079068246,0
396,2/10/2022,0.133,0.1768,0.08441448,0
397,29/10/2022,0.38,0.32356,0.127452136,0
398,18/11/2022,0.255,0.23997,0.234253238,0
399,30/11/2022,0.094,0.14244,0.111506013,0
400,24/12/2022,0.025,0.08429,0.068956161,0
400,27/1/2023,0.293,0.312,0.081307808,1
400,10/5/2023,0.124,0.1234,0.052511511,1
400,14/5/2023,0.285,0.22133,0.112529266,1
400,20/5/2023,0.15,0.132855,0.076885283,1
400,21/5/2023,0.185,0.09935,0.05628764,1
400,22/5/2023,0.1125,0.064195,0.071218336,1
400,24/5/2023,0.132,0.070205,0.063802594,1
400,28/5/2023,0.23,0.167835,0.064531161,1
400,29/5/2023,0.051,0.05885,0.085163577,1
400,4/6/2023,0.196,0.123625,0.070460665,1
400,6/6/2023,0.132,0.07111,0.062144345,1
400,12/6/2023,0.094,0.09028,0.080224216,1
400,13/6/2023,0.074,0.07799,0.072025937,1
400,14/6/2023,0.154,0.05101,0.06396232,1
400,15/6/2023,0.243,0.16635,0.131935663,1
400,19/6/2023,0.154,0.13023,0.108695034,1
400,20/6/2023,0.145,0.10423,0.084210437,1
400,21/6/2023,0.14,0.081665,0.062223977,1
400,23/6/2023,0.193,0.19993,0.131866788,1
400,25/6/2023,0.126,0.101665,0.128427209,1
400,30/6/2023,0.115,0.04123,0.063959125,1
400,12/7/2023,0.073,0.06086,0.046419064,1
400,14/7/2023,0.314,0.23712,0.058844248,1
400,22/7/2023,0.169,0.09546,0.104139415,1
400,23/7/2023,0.117,0.08847,0.0695497,1
400,24/7/2023,0.191,0.1559,0.106072986,1
400,30/7/2023,0.167,0.11451,0.121766931,1
400,1/8/2023,0.21,0.10993,0.11671195,1
400,7/8/2023,0.134,0.087725,0.037876079,1
400,17/9/2023,0.293,0.22625,0.113994991,1
400,24/9/2023,0.215,0.2132,0.183154401,1
400,28/9/2023,0.204,0.152785,0.099602218,1
400,29/9/2023,0.172,0.184925,0.096693531,1
400,11/10/2023,0.004,0.090125,0.06041918,1
400,18/11/2023,0.077,0.143005,0.10970957,1
400,25/11/2023,0.11,0.1725,0.062079049,1
400,9/12/2023,0.092,0.16062,0.098323673,1
400,13/12/2023,0.1575,0.15229,0.03511624,1
400,23/1/2024,0.243,0.197175,0.079669955,1
400,30/1/2024,0.3535,0.30694,0.112718589,1
400,4/3/2024,0.344,0.2795,0.08993008,1
400,9/3/2024,0.233,0.27731,0.092702489,1
400,12/3/2024,0.501,0.240895,0.147289524,1
400,27/3/2024,0.163,0.190115,0.045317864,1
400,26/4/2024,0.111,0.12181,0.078311051,1
400,27/4/2024,0.07,0.106,0.053526098,1
400,28/4/2024,0.19,0.08784,0.04788258,1
400,29/4/2024,0.071,0.05931,0.033446407,1
400,30/4/2024,0.084,0.092705,0.077756469,1
400,4/5/2024,0.161,0.097835,0.092932513,1
400,5/5/2024,0.1965,0.18244,0.148375476,1
400,10/5/2024,0.0835,0.067105,0.069480933,1
400,15/5/2024,0.062,0.064215,0.064168191,1
400,17/5/2024,0.117,0.07877,0.096926628,1
400,21/5/2024,0.1205,0.088275,0.090870474,1
400,24/5/2024,0.066,0.09893,0.147769893,1
400,28/5/2024,0.074,0.088795,0.06645504,1
400,30/5/2024,0.055,0.061695,0.068153955,1
400,31/5/2024,0.118,0.051035,0.04973803,1
400,2/6/2024,0.1,0.08614,0.101279044,1
400,15/6/2024,0.166,0.13578,0.112816581,1
400,27/6/2024,0.198,0.14025,0.10748298,1
400,29/6/2024,0.12,0.12493,0.061212745,1
400,9/7/2024,0.135,0.10465,0.042202923,1
